SEASON,TEAM_NAME,GAME_DATE,MATCHUP,WIN,TEAM_PTS_AVG,TEAM_AST_AVG,TEAM_REB_AVG
2202,Atlanta Hawks,2023-03-19,ATL @ SAS,0,,,
2202,Atlanta Hawks,2023-03-17,ATL vs. GSW,1,,,
2202,Atlanta Hawks,2023-03-13,ATL vs. MIN,0,,,
2202,Atlanta Hawks,2023-03-11,ATL vs. BOS,0,,,
2202,Atlanta Hawks,2023-03-10,ATL @ WAS,1,,,
2202,Atlanta Hawks,2023-03-08,ATL @ WAS,1,,,
2202,Atlanta Hawks,2023-03-06,ATL @ MIA,0,,,
2202,Atlanta Hawks,2023-03-04,ATL @ MIA,0,,,
2202,Atlanta Hawks,2023-03-03,ATL vs. POR,1,,,
2202,Atlanta Hawks,2023-02-28,ATL vs. WAS,0,,,
2202,Atlanta Hawks,2023-02-26,ATL vs. BKN,1,,,
2202,Atlanta Hawks,2023-02-24,ATL vs. CLE,1,,,
2202,Atlanta Hawks,2023-02-15,ATL vs. NYK,0,,,
2202,Atlanta Hawks,2023-02-13,ATL @ CHA,0,,,
2202,Atlanta Hawks,2023-02-11,ATL vs. SAS,1,,,
2202,Atlanta Hawks,2023-02-09,ATL vs. PHX,1,,,
2202,Atlanta Hawks,2023-02-07,ATL @ NOP,0,,,
2202,Atlanta Hawks,2023-02-04,ATL @ DEN,0,,,
2202,Atlanta Hawks,2023-02-03,ATL @ UTA,1,,,
2202,Atlanta Hawks,2023-02-01,ATL @ PHX,1,,,
2202,Atlanta Hawks,2023-01-30,ATL @ POR,0,,,
2202,Atlanta Hawks,2023-01-28,ATL vs. LAC,0,,,
2202,Atlanta Hawks,2023-01-25,ATL @ OKC,1,,,
2202,Atlanta Hawks,2023-01-23,ATL @ CHI,0,,,
2202,Atlanta Hawks,2023-01-21,ATL vs. CHA,0,,,
2202,Atlanta Hawks,2023-01-20,ATL vs. NYK,1,,,
2202,Atlanta Hawks,2023-01-18,ATL @ DAL,1,,,
2202,Atlanta Hawks,2023-01-16,ATL vs. MIA,1,,,
2202,Atlanta Hawks,2023-01-14,ATL @ TOR,1,,,
2202,Atlanta Hawks,2023-01-13,ATL @ IND,1,,,
2202,Atlanta Hawks,2023-01-11,ATL vs. MIL,0,,,
2202,Atlanta Hawks,2023-01-08,ATL @ LAC,1,,,
2202,Atlanta Hawks,2023-01-06,ATL @ LAL,0,,,
2202,Atlanta Hawks,2023-01-04,ATL @ SAC,1,,,
2202,Atlanta Hawks,2023-01-02,ATL @ GSW,0,,,
2202,Atlanta Hawks,2022-12-30,ATL vs. LAL,0,,,
2202,Atlanta Hawks,2022-12-28,ATL vs. BKN,0,,,
2202,Atlanta Hawks,2022-12-27,ATL @ IND,0,,,
2202,Atlanta Hawks,2022-12-23,ATL vs. DET,1,,,
2202,Atlanta Hawks,2022-12-21,ATL vs. CHI,0,,,
2202,Atlanta Hawks,2022-12-19,ATL vs. ORL,1,,,
2202,Atlanta Hawks,2022-12-16,ATL @ CHA,1,,,
2202,Atlanta Hawks,2022-12-14,ATL @ ORL,0,,,
2202,Atlanta Hawks,2022-12-12,ATL @ MEM,0,,,
2202,Atlanta Hawks,2022-12-11,ATL vs. CHI,1,,,
2202,Atlanta Hawks,2022-12-09,ATL @ BKN,0,,,
2202,Atlanta Hawks,2022-12-07,ATL @ NYK,0,,,
2202,Atlanta Hawks,2022-12-05,ATL vs. OKC,0,,,
2202,Atlanta Hawks,2022-12-02,ATL vs. DEN,1,,,
2202,Atlanta Hawks,2022-11-30,ATL @ ORL,1,,,
2202,Atlanta Hawks,2022-11-28,ATL @ PHI,0,,,
2202,Atlanta Hawks,2022-11-27,ATL vs. MIA,0,,,
2202,Atlanta Hawks,2022-11-25,ATL @ HOU,0,,,
2202,Atlanta Hawks,2022-11-23,ATL vs. SAC,1,,,
2202,Atlanta Hawks,2022-11-21,ATL @ CLE,0,,,
2202,Atlanta Hawks,2022-11-19,ATL vs. TOR,1,,,
2202,Atlanta Hawks,2022-11-16,ATL vs. BOS,0,,,
2202,Atlanta Hawks,2022-11-14,ATL @ MIL,1,,,
2202,Atlanta Hawks,2022-11-12,ATL @ PHI,0,,,
2202,Atlanta Hawks,2022-11-10,ATL vs. PHI,1,,,
2202,Atlanta Hawks,2022-11-09,ATL vs. UTA,0,,,
2202,Atlanta Hawks,2022-11-07,ATL vs. MIL,1,,,
2202,Atlanta Hawks,2022-11-05,ATL vs. NOP,1,,,
2202,Atlanta Hawks,2022-11-02,ATL @ NYK,1,,,
2202,Atlanta Hawks,2022-10-31,ATL @ TOR,0,,,
2202,Atlanta Hawks,2022-10-29,ATL @ MIL,0,,,
2202,Atlanta Hawks,2022-10-28,ATL @ DET,1,,,
2202,Atlanta Hawks,2022-10-26,ATL @ DET,1,,,
2202,Atlanta Hawks,2022-10-23,ATL vs. CHA,0,,,
2202,Atlanta Hawks,2022-10-21,ATL vs. ORL,1,,,
2202,Atlanta Hawks,2022-10-19,ATL vs. HOU,1,,,
2202,Atlanta Hawks,2022-07-16,ATL @ CLE,0,,,
2202,Atlanta Hawks,2022-07-14,ATL @ SAS,1,,,
2202,Atlanta Hawks,2022-07-12,ATL @ MIA,0,,,
2202,Atlanta Hawks,2022-07-12,ATL @ MIA,1,,,
2202,Atlanta Hawks,2022-07-11,ATL vs. NOP,0,,,
2202,Atlanta Hawks,2022-07-09,ATL @ UTA,0,,,
4202,Atlanta Hawks,2022-04-26,ATL @ MIA,0,,,
4202,Atlanta Hawks,2022-04-24,ATL vs. MIA,0,,,
4202,Atlanta Hawks,2022-04-22,ATL vs. MIA,1,,,
4202,Atlanta Hawks,2022-04-19,ATL @ MIA,0,,,
4202,Atlanta Hawks,2022-04-17,ATL @ MIA,0,,,
5202,Atlanta Hawks,2022-04-15,ATL @ CLE,1,,,
5202,Atlanta Hawks,2022-04-13,ATL vs. CHA,1,,,
2202,Atlanta Hawks,2022-04-10,ATL @ HOU,1,,,
2202,Atlanta Hawks,2022-04-08,ATL @ MIA,0,,,
2202,Atlanta Hawks,2022-04-06,ATL vs. WAS,1,,,
2202,Atlanta Hawks,2022-04-05,ATL @ TOR,0,,,
2202,Atlanta Hawks,2022-04-02,ATL vs. BKN,1,,,
2202,Atlanta Hawks,2022-03-31,ATL vs. CLE,1,,,
2202,Atlanta Hawks,2022-03-30,ATL @ OKC,1,,,
2202,Atlanta Hawks,2022-03-28,ATL @ IND,1,,,
2202,Atlanta Hawks,2022-03-25,ATL vs. GSW,1,,,
2202,Atlanta Hawks,2022-03-23,ATL @ DET,0,,,
2202,Atlanta Hawks,2022-03-22,ATL @ NYK,1,,,
2202,Atlanta Hawks,2022-03-20,ATL vs. NOP,0,,,
2202,Atlanta Hawks,2022-03-18,ATL vs. MEM,1,,,
2202,Atlanta Hawks,2022-03-16,ATL @ CHA,0,,,
2202,Atlanta Hawks,2022-03-14,ATL vs. POR,1,,,
2202,Atlanta Hawks,2022-03-13,ATL vs. IND,1,,,
2202,Atlanta Hawks,2022-03-11,ATL vs. LAC,1,,,
2202,Atlanta Hawks,2022-03-09,ATL @ MIL,0,,,
2202,Atlanta Hawks,2022-03-07,ATL @ DET,0,,,
2202,Atlanta Hawks,2022-03-04,ATL @ WAS,1,,,
2202,Atlanta Hawks,2022-03-03,ATL vs. CHI,1,,,
2202,Atlanta Hawks,2022-03-01,ATL @ BOS,0,,,
2202,Atlanta Hawks,2022-02-26,ATL vs. TOR,1,,,
2202,Atlanta Hawks,2022-02-24,ATL @ CHI,0,,,
2202,Atlanta Hawks,2022-02-16,ATL @ ORL,1,,,
2202,Atlanta Hawks,2022-02-15,ATL vs. CLE,1,,,
2202,Atlanta Hawks,2022-02-13,ATL @ BOS,0,,,
2202,Atlanta Hawks,2022-02-11,ATL vs. SAS,0,,,
2202,Atlanta Hawks,2022-02-08,ATL vs. IND,1,,,
2202,Atlanta Hawks,2022-02-06,ATL @ DAL,0,,,
2202,Atlanta Hawks,2022-02-04,ATL @ TOR,0,,,
2202,Atlanta Hawks,2022-02-03,ATL vs. PHX,1,,,
2202,Atlanta Hawks,2022-01-31,ATL vs. TOR,0,,,
2202,Atlanta Hawks,2022-01-30,ATL vs. LAL,1,,,
2202,Atlanta Hawks,2022-01-28,ATL vs. BOS,1,,,
2202,Atlanta Hawks,2022-01-26,ATL vs. SAC,1,,,
2202,Atlanta Hawks,2022-01-23,ATL @ CHA,1,,,
2202,Atlanta Hawks,2022-01-21,ATL vs. MIA,1,,,
2202,Atlanta Hawks,2022-01-19,ATL vs. MIN,1,,,
2202,Atlanta Hawks,2022-01-17,ATL vs. MIL,1,,,
2202,Atlanta Hawks,2022-01-15,ATL vs. NYK,0,,,
2202,Atlanta Hawks,2022-01-14,ATL @ MIA,0,,,
2202,Atlanta Hawks,2022-01-12,ATL vs. MIA,0,,,
2202,Atlanta Hawks,2022-01-09,ATL @ LAC,0,,,
2202,Atlanta Hawks,2022-01-07,ATL @ LAL,0,,,
2202,Atlanta Hawks,2022-01-05,ATL @ SAC,1,,,
2202,Atlanta Hawks,2022-01-03,ATL @ POR,0,,,
2202,Atlanta Hawks,2021-12-31,ATL @ CLE,1,,,
2202,Atlanta Hawks,2021-12-29,ATL @ CHI,0,,,
2202,Atlanta Hawks,2021-12-27,ATL vs. CHI,0,,,
2202,Atlanta Hawks,2021-12-25,ATL @ NYK,0,,,
2202,Atlanta Hawks,2021-12-23,ATL @ PHI,1,,,
2202,Atlanta Hawks,2021-12-22,ATL vs. ORL,0,,,
2202,Atlanta Hawks,2021-12-17,ATL vs. DEN,0,,,
2202,Atlanta Hawks,2021-12-15,ATL @ ORL,1,,,
2202,Atlanta Hawks,2021-12-13,ATL vs. HOU,0,,,
2202,Atlanta Hawks,2021-12-10,ATL vs. BKN,0,,,
2202,Atlanta Hawks,2021-12-06,ATL @ MIN,1,,,
2202,Atlanta Hawks,2021-12-05,ATL vs. CHA,0,,,
2202,Atlanta Hawks,2021-12-03,ATL vs. PHI,0,,,
2202,Atlanta Hawks,2021-12-01,ATL @ IND,1,,,
2202,Atlanta Hawks,2021-11-27,ATL vs. NYK,0,,,
2202,Atlanta Hawks,2021-11-26,ATL @ MEM,1,,,
2202,Atlanta Hawks,2021-11-24,ATL @ SAS,1,,,
2202,Atlanta Hawks,2021-11-22,ATL vs. OKC,1,,,
2202,Atlanta Hawks,2021-11-20,ATL vs. CHA,1,,,
2202,Atlanta Hawks,2021-11-17,ATL vs. BOS,1,,,
2202,Atlanta Hawks,2021-11-15,ATL vs. ORL,1,,,
2202,Atlanta Hawks,2021-11-14,ATL vs. MIL,1,,,
2202,Atlanta Hawks,2021-11-12,ATL @ DEN,0,,,
2202,Atlanta Hawks,2021-11-09,ATL @ UTA,0,,,
2202,Atlanta Hawks,2021-11-08,ATL @ GSW,0,,,
